Type,Rooms
Bangalows,1462
Boutique Hotels,564
Boutique Villas,237
Classified Hotels( 1-5 Star),12828
Guest Houses,9685
Heritage Bungalows,19
Heritage Homes,8
Home Stay Units,1138
Rented Apartments,207
Rented Homes,19
Tourist Hotels,9962
